@relation INMUEBLE_SIN_OUTLIER-weka.filters.unsupervised.attribute.Remove-R8-weka.filters.unsupervised.attribute.NumericToNominal-R3-weka.filters.unsupervised.attribute.Remove-R1

@attribute IMP_TASA numeric
@attribute NUM_ASC {0,1}
@attribute NUM_BAN numeric
@attribute NUM_HAB numeric
@attribute NUM_VAL_M2_UTIL numeric
@attribute NUM_VAL_M2_CONST numeric
@attribute TXT_SUB_CATE_ACTI {Piso,Casa,Atico,Adosado,Duplex,Apartamento,Chalet}

@data
100393.25,0,2,3,87.8,87.8,Piso
194482.75,0,2,3,103.73,103.73,Piso
?,0,?,?,125.07,125.07,Apartamento
?,0,?,?,76.77,76.77,Apartamento
?,0,?,?,91.75,91.75,Apartamento
?,0,?,?,115.8,115.8,Apartamento
?,0,?,?,124.96,124.96,Apartamento
?,0,?,?,76.77,76.77,Apartamento
?,0,?,?,91.75,91.75,Apartamento
?,0,?,?,105.47,105.47,Apartamento
?,0,?,?,74.99,74.99,Apartamento
?,0,?,?,80.74,80.74,Apartamento
?,0,?,?,108.04,108.04,Apartamento
?,0,?,?,105.99,105.99,Apartamento
?,0,?,?,70.81,70.81,Apartamento
?,0,?,?,70.83,70.83,Apartamento
?,0,?,?,73.73,73.73,Apartamento
?,0,?,?,77.19,77.19,Apartamento
?,0,?,?,93.25,93.25,Apartamento
?,0,?,?,74.85,74.85,Apartamento
?,0,?,?,91.93,91.93,Apartamento
?,0,?,?,95.56,95.56,Apartamento
?,0,?,?,62.85,62.85,Apartamento
?,0,?,?,62.85,62.85,Apartamento
?,0,?,?,65.86,65.86,Apartamento
?,0,?,?,70.44,70.44,Apartamento
?,0,?,?,86.24,86.24,Apartamento
?,0,?,?,123.91,123.91,Apartamento
?,0,?,?,115.97,115.97,Apartamento
?,0,?,?,121.87,121.87,Apartamento
?,0,?,?,76.77,76.77,Apartamento
?,0,?,?,76.1,76.1,Apartamento
?,0,?,?,115.8,115.8,Apartamento
?,0,?,?,88.9,88.9,Apartamento
?,0,2,3,118.6,164.06,Piso
?,0,?,?,73.1,73.1,Apartamento
?,0,?,?,72.88,72.88,Apartamento
?,0,?,?,76.67,76.67,Apartamento
?,0,?,?,82.37,82.37,Apartamento
?,0,?,?,75.02,75.02,Apartamento
?,0,?,?,67.37,67.37,Apartamento
?,0,?,?,71.06,71.06,Apartamento
?,0,?,?,79.26,79.26,Apartamento
?,0,?,?,65.48,65.48,Apartamento
?,0,?,?,65.25,65.25,Apartamento
?,0,?,?,69.89,69.89,Apartamento
?,0,?,?,73.85,73.85,Apartamento
?,0,?,?,67.37,67.37,Apartamento
?,0,?,?,68.43,68.43,Apartamento
?,0,?,?,68.43,68.43,Apartamento
?,0,?,?,80.74,80.74,Apartamento
?,0,?,?,108.04,108.04,Apartamento
?,0,?,?,105.99,105.99,Apartamento
?,0,?,?,70.81,70.81,Apartamento
?,0,?,?,70.81,70.81,Apartamento
?,0,1,4,144.5,?,Piso
?,0,?,?,73.73,73.73,Apartamento
?,0,?,?,77.19,77.19,Apartamento
?,0,?,?,72.01,72.01,Apartamento
?,0,?,?,72.34,72.34,Apartamento
?,0,?,?,79.48,79.48,Apartamento
?,0,?,?,77.59,77.59,Apartamento
?,0,?,?,70.76,70.76,Apartamento
?,0,?,?,65.92,65.92,Apartamento
?,0,?,?,65.98,65.98,Apartamento
?,0,?,?,81.93,81.93,Apartamento
180676,?,2,3,92.91,106.19,Adosado
?,0,?,?,77.7,77.7,Apartamento
?,0,?,?,64.2,64.2,Apartamento
?,0,?,?,64.42,64.42,Apartamento
?,0,?,?,101.66,101.66,Apartamento
?,0,?,?,76.54,76.54,Apartamento
?,0,?,?,68.83,68.83,Apartamento
?,0,?,?,78.04,78.04,Apartamento
?,0,?,?,88.9,88.9,Apartamento
?,0,?,?,74.13,74.13,Apartamento
?,0,?,?,68.16,68.16,Apartamento
?,0,?,?,76.67,76.67,Apartamento
?,0,?,?,82.37,82.37,Apartamento
?,0,?,?,68.83,68.83,Apartamento
?,0,?,?,75.02,75.02,Apartamento
?,0,?,?,78.04,78.04,Apartamento
?,?,2,3,93.75,126.27,Piso
?,0,?,?,72.18,72.18,Apartamento
?,0,?,?,86.68,86.68,Apartamento
?,0,?,?,77.87,77.87,Apartamento
?,0,?,?,72.9,72.9,Apartamento
?,0,?,?,73.01,73.01,Apartamento
?,0,?,?,96.41,96.41,Apartamento
?,0,?,?,89.88,89.88,Apartamento
?,0,?,?,72.01,72.01,Apartamento
?,?,2,3,96.4,129.54,Piso
?,0,?,?,72.34,72.34,Apartamento
?,0,?,?,87.46,87.46,Apartamento
?,0,?,?,86.68,86.68,Apartamento
?,0,?,?,77.87,77.87,Apartamento
?,0,?,?,72.9,72.9,Apartamento
?,0,?,?,73.01,73.01,Apartamento
?,0,?,?,96.41,96.41,Apartamento
?,0,?,?,89.88,89.88,Apartamento
?,?,2,3,93.75,126.27,Piso
?,?,2,3,96.4,129.54,Piso
?,?,2,3,96.4,129.54,Piso
?,?,2,3,96.4,129.54,Piso
?,0,1,3,136.15,186.06,Piso
167437,0,3,3,91.55,124,Adosado
160880.85,0,2,2,61.8,79.75,Piso
56628.37,0,2,2,78.9,94.65,Casa
56557.88,0,2,4,50,50,Casa
76800.93,0,2,?,98,98,Casa
222429,0,2,3,114.4,165.15,Piso
132050,0,1,2,50.3,62.3,Piso
167057,0,2,3,64.1,82.85,Piso
132050,0,1,2,50.3,62.3,Piso
110494.59,?,1,3,80.3,80.3,Piso
153520.74,0,2,4,91.76,91.76,Piso
90793.51,0,1,1,?,67.91,Piso
194646.45,0,?,?,119,119,Adosado
137470.97,0,2,2,71.02,71.02,Piso
119067.04,0,2,2,84.5,84.5,Piso
81872.47,0,1,3,82.86,104.62,Piso
132598.15,0,1,3,61.98,61.98,Piso
